Lake 	Date	Core	uE	Depth.m	Temp.C	T0.O2.mgL	T0.O2.mmolL	Incub.h	Water.Vol.ml	T1.flux	T2.flux	sum.flux
E4	2-Aug-06	Y1	0	4	7	7.998717734	0.249959929	12.16	136.8612	15.51526826	8.298310862	10.42193094
E4	2-Aug-06	Y6	0	4	7	8.782830949	0.274463467	12.16	145.9044	13.40169818	11.80430148	12.27434218
E4	2-Aug-06	Y9	0	4	7	7.820504993	0.244390781	12.16	136.8612	4.411448042	13.7199705	10.9808986
E4	2-Aug-06	Y4	0	4	7	7.910058517	0.247189329	12.16	136.8612	3.412095162	12.04610088	9.505508368
E4	2-Aug-06	Y2	0	4	7	8.20624878	0.256445274	12.16	136.8612	18.91448313	11.20535697	13.47379978
E4	2-Aug-06	Y8	0	4	7	8.232769779	0.257274056	12.16	136.8612	17.33928398	11.36817842	13.12520136
E4	2-Aug-06	Y3	0	4	7	8.323337836	0.260104307	12.16	136.8612	18.81523614	8.085083537	11.24247609
E4	2-Aug-06	Y7	0	4	7	10.44904665	0.326532708	12.16	154.9476	59.31216941	10.0289625	24.53075351
E4	2-Aug-06	Y5	0	4	7	8.883773187	0.277617912	12.16	136.8612	3.626320094	18.00566733	13.7744839
E4	2-Aug-06	B9	0	4	2	8.364788178	0.261399631	12.16	145.9044	7.224767694	13.61196532	11.73250554
E4	2-Aug-06	B5	0	4	2	9.727779781	0.303993118	12.16	136.8612	43.33634949	10.46901236	20.14036461
E4	2-Aug-06	B8	0	4	2	8.873971268	0.277311602	12.16	127.818	14.51820981	-10.74977286	-3.314562638
E4	2-Aug-06	B4	0	4	2	7.406931162	0.231466599	12.16	145.9044	21.40116571	-5.484652046	2.426612959
E4	2-Aug-06	B6	0	4	2	7.209440655	0.22529502	12.16	136.8612	5.718428985	7.390106872	6.89820862
E4	2-Aug-06	B2	0	4	2	7.288834204	0.227776069	12.16	136.8612	16.90066783	9.176139909	11.44911475
E4	2-Aug-06	B3	0	4	2	7.336320852	0.229260027	12.16	136.8612	5.532452289	4.411893653	4.741622746
E4	2-Aug-06	B7	0	4	2	8.188896885	0.255903028	12.16	145.9044	9.311547725	13.48355214	12.25592229
E4	2-Aug-06	B1	0	4	2	7.513149148	0.234785911	12.16	145.9044	1.58588199	10.91163569	8.167493421
E4	4-Aug-06	B5	0	4	12	8.744712134	0.273272254	13.13	136.8612	19.72783545	13.8323821	15.4464581
E4	4-Aug-06	B6	0	4	12	8.004057761	0.250126805	13.13	154.9476	4.576753684	10.31040916	8.740630696
E4	4-Aug-06	B3	0	4	12	8.187091164	0.255846599	13.13	136.8612	-5.517080411	27.59686541	18.53082383
E4	4-Aug-06	B4	0	4	12	7.667913869	0.239622308	13.13	136.8612	10.74423181	13.6691963	12.8683902
E4	4-Aug-06	B8	0	4	12	7.795936341	0.243623011	13.13	136.8612	13.63864744	11.39140303	12.00666077
E4	4-Aug-06	B2	0	4	12	7.898444103	0.246826378	13.13	136.8612	5.122521702	17.98954604	14.46677113
E4	4-Aug-06	B9	0	4	12	7.58530788	0.237040871	13.13	145.9044	7.550963735	10.54901858	9.728201572
E4	4-Aug-06	B1	0	4	12	8.633575222	0.269799226	13.13	136.8612	39.75499554	17.61251393	23.67475309
E4	4-Aug-06	B7	0	4	12	7.987245618	0.249601426	13.13	136.8612	9.654116859	10.50825244	10.27440448
E4	4-Aug-06	Y3	0	4	17	7.841988917	0.245062154	13.13	145.9044	21.36075116	14.68495613	16.51267656
E4	4-Aug-06	Y1	0	4	17	7.002324239	0.218822632	13.13	136.8612	22.91851247	11.3937971	14.54907039
E4	4-Aug-06	Y8	0	4	17	8.293431092	0.259169722	13.13	136.8612	53.23488217	33.62849332	38.99639293
E4	4-Aug-06	Y6	0	4	17	6.930461906	0.216576935	13.13	136.8612	15.69105167	12.04926769	13.04632691
E4	4-Aug-06	Y5	0	4	17	7.774035405	0.242938606	13.13	136.8612	32.10032226	18.0856081	21.92260119
E4	4-Aug-06	Y2	0	4	17	6.813475451	0.212921108	13.13	136.8612	156.9686772	-40.46618345	13.58816169
E4	4-Aug-06	Y4	0	4	17	7.336320852	0.229260027	13.13	136.8612	16.06746867	15.02017337	15.30690521
E4	4-Aug-06	Y9	0	4	17	7.288546966	0.227767093	13.13	136.8612	27.13139653	14.21158592	17.74881283
E4	4-Aug-06	Y7	0	4	17	6.53686423	0.204277007	13.13	145.9044	11.40073318	11.81608448	11.70236828
GTH91	19-Jun-06	B6	0	4	12	9.046235765	0.282694868	12.01	158.56488	12.54105536	16.00552853	14.14817482
